Transaction_ID,Date,Category,Product,Region,Store_ID,Base_Price,Units_Sold,Discount_Applied,Total_Revenue,Year,Month,Day_of_Week,Is_Weekend,Is_Outlier
10001,2022-01-01,Electronics,Smartphone,West,STR_WES_3,53039,2,0.06,99713.32,2022,1,5,1,0
10002,2022-01-01,Home Appliances,Vacuum Cleaner,South,STR_SOU_2,40571,3,0.06,114410.22,2022,1,5,1,0
10003,2022-01-01,Accessories,Headphones,North,STR_NOR_4,4724,5,0.07,21966.6,2022,1,5,1,0
10004,2022-01-01,Accessories,Mouse,West,STR_WES_4,2175,1,0.09,1979.25,2022,1,5,1,0
10005,2022-01-01,Home Appliances,Vacuum Cleaner,South,STR_SOU_5,22566,7,0.06,148484.28,2022,1,5,1,0
10006,2022-01-01,Electronics,Smartphone,South,STR_SOU_1,55646,1,0.07,51750.78,2022,1,5,1,0
10007,2022-01-01,Accessories,Headphones,East,STR_EAS_3,1748,1,0.01,1730.52,2022,1,5,1,0
10008,2022-01-01,Electronics,Laptop,West,STR_WES_5,55321,3,0.03,160984.11,2022,1,5,1,0
10009,2022-01-01,Home Appliances,Air Conditioner,West,STR_WES_5,19785,2,0.03,38382.9,2022,1,5,1,0
10010,2022-01-01,Home Appliances,Air Conditioner,West,STR_WES_1,31253,1,0.0,31253.0,2022,1,5,1,0
10011,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_2,34683,2,0.08,63816.72,2022,1,5,1,0
10012,2022-01-01,Accessories,Keyboard,South,STR_SOU_1,3860,1,0.01,3821.4,2022,1,5,1,0
10013,2022-01-01,Electronics,Laptop,North,STR_NOR_5,73199,1,0.03,71003.03,2022,1,5,1,0
10014,2022-01-01,Home Appliances,Air Conditioner,South,STR_SOU_5,33996,1,0.09,30936.36,2022,1,5,1,0
10015,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_2,27784,2,0.02,54456.64,2022,1,5,1,0
10016,2022-01-01,Home Appliances,Vacuum Cleaner,West,STR_WES_4,27529,1,0.04,26427.84,2022,1,5,1,0
10017,2022-01-01,Electronics,Tablet,South,STR_SOU_4,50345,1,0.09,45813.95,2022,1,5,1,0
10018,2022-01-01,Accessories,Keyboard,South,STR_SOU_3,4160,1,0.01,4118.4,2022,1,5,1,0
10019,2022-01-01,Home Appliances,Air Conditioner,North,STR_NOR_5,33789,4,0.01,133804.44,2022,1,5,1,0
10020,2022-01-01,Accessories,Keyboard,West,STR_WES_1,4456,1,0.08,4099.52,2022,1,5,1,0
10021,2022-01-01,Electronics,Smartphone,South,STR_SOU_4,21811,4,0.0,87244.0,2022,1,5,1,0
10022,2022-01-01,Home Appliances,Microwave,South,STR_SOU_5,26155,1,0.09,23801.05,2022,1,5,1,0
10023,2022-01-01,Home Appliances,Microwave,North,STR_NOR_1,33334,6,0.08,184003.68,2022,1,5,1,0
10024,2022-01-01,Electronics,Tablet,South,STR_SOU_4,38207,11,0.01,416074.23,2022,1,5,1,1
10025,2022-01-01,Electronics,Laptop,West,STR_WES_5,70864,2,0.01,140310.72,2022,1,5,1,0
10026,2022-01-01,Accessories,Headphones,South,STR_SOU_4,4808,3,0.06,13558.56,2022,1,5,1,0
10027,2022-01-01,Electronics,Laptop,East,STR_EAS_5,38485,1,0.01,38100.15,2022,1,5,1,0
10028,2022-01-01,Electronics,Smartphone,West,STR_WES_4,58295,2,0.1,104931.0,2022,1,5,1,0
10029,2022-01-01,Electronics,Smartphone,North,STR_NOR_2,29777,1,0.05,28288.15,2022,1,5,1,0
10030,2022-01-01,Electronics,Laptop,North,STR_NOR_4,40498,3,0.07,112989.42,2022,1,5,1,0
10031,2022-01-01,Electronics,Laptop,East,STR_EAS_4,69304,5,0.01,343054.8,2022,1,5,1,1
10032,2022-01-01,Accessories,Mouse,East,STR_EAS_4,1542,3,0.01,4579.74,2022,1,5,1,0
10033,2022-01-01,Electronics,Tablet,East,STR_EAS_3,40965,1,0.06,38507.1,2022,1,5,1,0
10034,2022-01-01,Home Appliances,Microwave,West,STR_WES_4,33144,1,0.09,30161.04,2022,1,5,1,0
10035,2022-01-01,Electronics,Laptop,South,STR_SOU_5,59817,2,0.01,118437.66,2022,1,5,1,0
10036,2022-01-01,Electronics,Laptop,West,STR_WES_2,50795,6,0.06,286483.8,2022,1,5,1,0
10037,2022-01-01,Home Appliances,Vacuum Cleaner,East,STR_EAS_1,41659,1,0.05,39576.05,2022,1,5,1,0
10038,2022-01-01,Accessories,Headphones,South,STR_SOU_1,2706,7,0.08,17426.64,2022,1,5,1,0
10039,2022-01-01,Electronics,Tablet,West,STR_WES_1,36306,1,0.05,34490.7,2022,1,5,1,0
10040,2022-01-01,Home Appliances,Vacuum Cleaner,North,STR_NOR_3,26602,4,0.05,101087.6,2022,1,5,1,0
10041,2022-01-01,Home Appliances,Air Conditioner,West,STR_WES_4,22450,2,0.04,43104.0,2022,1,5,1,0
10042,2022-01-01,Electronics,Laptop,East,STR_EAS_2,55799,3,0.06,157353.18,2022,1,5,1,0
10043,2022-01-01,Home Appliances,Microwave,West,STR_WES_2,26623,5,0.08,122465.8,2022,1,5,1,0
10044,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_5,16046,3,0.09,43805.58,2022,1,5,1,0
10045,2022-01-01,Electronics,Laptop,North,STR_NOR_5,68491,1,0.03,66436.27,2022,1,5,1,0
10046,2022-01-01,Accessories,Mouse,North,STR_NOR_4,4628,6,0.0,27768.0,2022,1,5,1,0
10047,2022-01-01,Electronics,Smartphone,South,STR_SOU_3,39384,1,0.07,36627.12,2022,1,5,1,0
10048,2022-01-01,Electronics,Smartphone,West,STR_WES_1,61616,1,0.07,57302.88,2022,1,5,1,0
10049,2022-01-01,Accessories,Keyboard,West,STR_WES_4,1802,1,0.05,1711.9,2022,1,5,1,0
10050,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_4,25932,1,0.08,23857.44,2022,1,5,1,0
10051,2022-01-01,Electronics,Smartphone,East,STR_EAS_5,29736,1,0.0,29736.0,2022,1,5,1,0
10052,2022-01-01,Accessories,Keyboard,West,STR_WES_4,1114,1,0.07,1036.02,2022,1,5,1,0
10053,2022-01-01,Home Appliances,Vacuum Cleaner,North,STR_NOR_4,29739,1,0.01,29441.61,2022,1,5,1,0
10054,2022-01-01,Home Appliances,Vacuum Cleaner,East,STR_EAS_5,38997,2,0.09,70974.54,2022,1,5,1,0
10055,2022-01-01,Home Appliances,Microwave,East,STR_EAS_1,16943,5,0.03,82173.55,2022,1,5,1,0
10056,2022-01-01,Accessories,Keyboard,South,STR_SOU_1,4330,1,0.05,4113.5,2022,1,5,1,0
10057,2022-01-01,Electronics,Laptop,West,STR_WES_2,36254,2,0.05,68882.6,2022,1,5,1,0
10058,2022-01-01,Home Appliances,Microwave,North,STR_NOR_4,23090,2,0.08,42485.6,2022,1,5,1,0
10059,2022-01-01,Home Appliances,Microwave,South,STR_SOU_1,35721,6,0.05,203609.7,2022,1,5,1,0
10060,2022-01-01,Accessories,Mouse,West,STR_WES_5,1691,5,0.03,8201.35,2022,1,5,1,0
10061,2022-01-01,Accessories,Keyboard,West,STR_WES_5,4545,4,0.07,16907.4,2022,1,5,1,0
10062,2022-01-01,Electronics,Laptop,West,STR_WES_2,26070,4,0.07,96980.4,2022,1,5,1,0
10063,2022-01-01,Accessories,Mouse,East,STR_EAS_3,3085,1,0.08,2838.2,2022,1,5,1,0
10064,2022-01-01,Accessories,Headphones,North,STR_NOR_1,1588,4,0.08,5843.84,2022,1,5,1,0
10065,2022-01-01,Home Appliances,Vacuum Cleaner,East,STR_EAS_3,36815,2,0.1,66267.0,2022,1,5,1,0
10066,2022-01-01,Accessories,Headphones,North,STR_NOR_5,3648,7,0.05,24259.2,2022,1,5,1,0
10067,2022-01-01,Accessories,Headphones,East,STR_EAS_2,4155,3,0.09,11343.15,2022,1,5,1,0
10068,2022-01-01,Accessories,Mouse,West,STR_WES_4,2631,4,0.03,10208.28,2022,1,5,1,0
10069,2022-01-01,Home Appliances,Microwave,South,STR_SOU_2,29699,4,0.05,112856.2,2022,1,5,1,0
10070,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_2,16363,1,0.05,15544.85,2022,1,5,1,0
10071,2022-01-01,Home Appliances,Vacuum Cleaner,South,STR_SOU_5,22498,1,0.01,22273.02,2022,1,5,1,0
10072,2022-01-01,Home Appliances,Vacuum Cleaner,South,STR_SOU_2,40917,1,0.06,38461.98,2022,1,5,1,0
10073,2022-01-01,Accessories,Keyboard,West,STR_WES_2,2472,1,0.01,2447.28,2022,1,5,1,0
10074,2022-01-01,Electronics,Smartphone,West,STR_WES_4,28001,1,0.03,27160.97,2022,1,5,1,0
10075,2022-01-01,Accessories,Headphones,South,STR_SOU_3,3493,1,0.06,3283.42,2022,1,5,1,0
10076,2022-01-01,Electronics,Laptop,East,STR_EAS_3,25676,5,0.01,127096.2,2022,1,5,1,0
10077,2022-01-01,Electronics,Smartphone,North,STR_NOR_5,52604,3,0.01,156233.88,2022,1,5,1,0
10078,2022-01-01,Accessories,Keyboard,East,STR_EAS_2,3320,1,0.01,3286.8,2022,1,5,1,0
10079,2022-01-01,Accessories,Mouse,North,STR_NOR_2,3668,1,0.09,3337.88,2022,1,5,1,0
10080,2022-01-01,Electronics,Tablet,South,STR_SOU_4,24401,2,0.04,46849.92,2022,1,5,1,0
10081,2022-01-01,Home Appliances,Microwave,East,STR_EAS_5,44925,2,0.03,87154.5,2022,1,5,1,0
10082,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_4,18264,1,0.04,17533.44,2022,1,5,1,0
10083,2022-01-01,Accessories,Mouse,South,STR_SOU_4,1685,4,0.02,6605.2,2022,1,5,1,0
10084,2022-01-01,Electronics,Laptop,East,STR_EAS_4,75148,8,0.02,589160.32,2022,1,5,1,1
10085,2022-01-01,Accessories,Headphones,North,STR_NOR_5,1720,5,0.05,8170.0,2022,1,5,1,0
10086,2022-01-01,Electronics,Smartphone,North,STR_NOR_4,47112,7,0.07,306699.12,2022,1,5,1,0
10087,2022-01-01,Accessories,Keyboard,North,STR_NOR_4,1040,3,0.03,3026.4,2022,1,5,1,0
10088,2022-01-01,Home Appliances,Microwave,South,STR_SOU_4,36209,1,0.08,33312.28,2022,1,5,1,0
10089,2022-01-01,Accessories,Mouse,West,STR_WES_3,2167,5,0.1,9751.5,2022,1,5,1,0
10090,2022-01-01,Electronics,Laptop,South,STR_SOU_4,66042,7,0.06,434556.36,2022,1,5,1,1
10091,2022-01-01,Electronics,Smartphone,West,STR_WES_1,25940,2,0.02,50842.4,2022,1,5,1,0
10092,2022-01-01,Electronics,Smartphone,West,STR_WES_2,77007,1,0.0,77007.0,2022,1,5,1,0
10093,2022-01-01,Accessories,Headphones,North,STR_NOR_2,3372,3,0.05,9610.2,2022,1,5,1,0
10094,2022-01-01,Home Appliances,Vacuum Cleaner,West,STR_WES_3,22381,1,0.07,20814.33,2022,1,5,1,0
10095,2022-01-01,Electronics,Smartphone,West,STR_WES_3,32312,6,0.03,188055.84,2022,1,5,1,0
10096,2022-01-01,Home Appliances,Vacuum Cleaner,South,STR_SOU_1,22939,2,0.09,41748.98,2022,1,5,1,0
10097,2022-01-01,Accessories,Keyboard,South,STR_SOU_2,3048,2,0.04,5852.16,2022,1,5,1,0
10098,2022-01-01,Accessories,Headphones,East,STR_EAS_1,3483,1,0.04,3343.68,2022,1,5,1,0
10099,2022-01-01,Accessories,Keyboard,West,STR_WES_3,4122,1,0.03,3998.34,2022,1,5,1,0
10100,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_5,38481,3,0.05,109670.85,2022,1,5,1,0
10101,2022-01-01,Accessories,Headphones,West,STR_WES_3,4581,3,0.06,12918.42,2022,1,5,1,0
10102,2022-01-01,Home Appliances,Air Conditioner,South,STR_SOU_5,24243,1,0.02,23758.14,2022,1,5,1,0
10103,2022-01-01,Electronics,Smartphone,West,STR_WES_4,50804,1,0.03,49279.88,2022,1,5,1,0
10104,2022-01-01,Electronics,Tablet,West,STR_WES_5,66580,1,0.04,63916.8,2022,1,5,1,0
10105,2022-01-01,Electronics,Smartphone,North,STR_NOR_4,37380,2,0.02,73264.8,2022,1,5,1,0
10106,2022-01-01,Electronics,Smartphone,South,STR_SOU_4,70150,1,0.04,67344.0,2022,1,5,1,0
10107,2022-01-01,Electronics,Laptop,East,STR_EAS_3,24259,2,0.03,47062.46,2022,1,5,1,0
10108,2022-01-01,Electronics,Smartphone,East,STR_EAS_2,75233,4,0.02,294913.36,2022,1,5,1,0
10109,2022-01-01,Electronics,Smartphone,South,STR_SOU_2,23981,7,0.08,154437.64,2022,1,5,1,0
10110,2022-01-01,Home Appliances,Microwave,North,STR_NOR_4,30750,5,0.09,139912.5,2022,1,5,1,0
10111,2022-01-01,Home Appliances,Microwave,East,STR_EAS_2,26631,3,0.05,75898.35,2022,1,5,1,0
10112,2022-01-01,Home Appliances,Air Conditioner,West,STR_WES_1,23692,3,0.05,67522.2,2022,1,5,1,0
10113,2022-01-01,Accessories,Mouse,East,STR_EAS_5,2230,3,0.08,6154.8,2022,1,5,1,0
10114,2022-01-01,Home Appliances,Vacuum Cleaner,West,STR_WES_4,33520,4,0.1,120672.0,2022,1,5,1,0
10115,2022-01-01,Home Appliances,Microwave,East,STR_EAS_1,23718,1,0.02,23243.64,2022,1,5,1,0
10116,2022-01-01,Accessories,Headphones,South,STR_SOU_5,3598,5,0.07,16730.7,2022,1,5,1,0
10117,2022-01-01,Electronics,Laptop,East,STR_EAS_2,33536,4,0.1,120729.6,2022,1,5,1,0
10118,2022-01-01,Accessories,Headphones,East,STR_EAS_4,4075,3,0.06,11491.5,2022,1,5,1,0
10119,2022-01-01,Electronics,Smartphone,West,STR_WES_1,42436,2,0.04,81477.12,2022,1,5,1,0
10120,2022-01-01,Home Appliances,Air Conditioner,North,STR_NOR_2,40209,1,0.1,36188.1,2022,1,5,1,0
10121,2022-01-01,Electronics,Smartphone,East,STR_EAS_1,42083,1,0.01,41662.17,2022,1,5,1,0
10122,2022-01-01,Accessories,Headphones,East,STR_EAS_1,1201,3,0.06,3386.82,2022,1,5,1,0
10123,2022-01-01,Home Appliances,Air Conditioner,South,STR_SOU_2,21188,3,0.08,58478.88,2022,1,5,1,0
10124,2022-01-01,Home Appliances,Vacuum Cleaner,North,STR_NOR_5,41435,2,0.03,80383.9,2022,1,5,1,0
10125,2022-01-01,Home Appliances,Air Conditioner,West,STR_WES_4,24237,1,0.06,22782.78,2022,1,5,1,0
10126,2022-01-01,Home Appliances,Vacuum Cleaner,North,STR_NOR_4,17219,1,0.04,16530.24,2022,1,5,1,0
10127,2022-01-01,Home Appliances,Microwave,East,STR_EAS_2,40433,8,0.01,320229.36,2022,1,5,1,1
10128,2022-01-01,Electronics,Laptop,West,STR_WES_1,56111,18,0.01,999898.02,2022,1,5,1,1
10129,2022-01-01,Accessories,Headphones,West,STR_WES_1,2806,9,0.05,23991.3,2022,1,5,1,0
10130,2022-01-01,Home Appliances,Air Conditioner,South,STR_SOU_3,38036,3,0.03,110684.76,2022,1,5,1,0
10131,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_5,27867,1,0.1,25080.3,2022,1,5,1,0
10132,2022-01-01,Electronics,Tablet,North,STR_NOR_4,62462,2,0.08,114930.08,2022,1,5,1,0
10133,2022-01-01,Accessories,Keyboard,North,STR_NOR_3,1683,1,0.05,1598.85,2022,1,5,1,0
10134,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_4,43854,2,0.0,87708.0,2022,1,5,1,0
10135,2022-01-01,Home Appliances,Vacuum Cleaner,East,STR_EAS_1,31141,5,0.04,149476.8,2022,1,5,1,0
10136,2022-01-01,Accessories,Keyboard,West,STR_WES_1,1189,1,0.02,1165.22,2022,1,5,1,0
10137,2022-01-01,Home Appliances,Air Conditioner,West,STR_WES_3,34819,1,0.05,33078.05,2022,1,5,1,0
10138,2022-01-01,Home Appliances,Microwave,East,STR_EAS_4,17146,4,0.07,63783.12,2022,1,5,1,0
10139,2022-01-01,Home Appliances,Microwave,West,STR_WES_3,39162,1,0.01,38770.38,2022,1,5,1,0
10140,2022-01-01,Electronics,Smartphone,South,STR_SOU_2,63107,1,0.09,57427.37,2022,1,5,1,0
10141,2022-01-01,Accessories,Mouse,North,STR_NOR_1,2923,2,0.01,5787.54,2022,1,5,1,0
10142,2022-01-01,Accessories,Keyboard,East,STR_EAS_1,3616,1,0.09,3290.56,2022,1,5,1,0
10143,2022-01-01,Electronics,Smartphone,North,STR_NOR_3,66074,1,0.03,64091.78,2022,1,5,1,0
10144,2022-01-01,Electronics,Tablet,West,STR_WES_5,31267,1,0.05,29703.65,2022,1,5,1,0
10145,2022-01-01,Home Appliances,Vacuum Cleaner,East,STR_EAS_1,21350,3,0.02,62769.0,2022,1,5,1,0
10146,2022-01-01,Electronics,Smartphone,North,STR_NOR_1,49448,1,0.1,44503.2,2022,1,5,1,0
10147,2022-01-01,Electronics,Smartphone,North,STR_NOR_3,30527,1,0.05,29000.65,2022,1,5,1,0
10148,2022-01-01,Accessories,Keyboard,West,STR_WES_4,3701,4,0.04,14211.84,2022,1,5,1,0
10149,2022-01-01,Home Appliances,Air Conditioner,East,STR_EAS_2,22103,2,0.05,41995.7,2022,1,5,1,0
10150,2022-01-01,Electronics,Smartphone,North,STR_NOR_3,39551,2,0.03,76728.94,2022,1,5,1,0
10151,2022-01-01,Home Appliances,Microwave,North,STR_NOR_1,40233,1,0.09,36612.03,2022,1,5,1,0
10152,2022-01-01,Home Appliances,Microwave,North,STR_NOR_1,43533,4,0.1,156718.8,2022,1,5,1,0
10153,2022-01-01,Accessories,Headphones,South,STR_SOU_1,1551,1,0.04,1488.96,2022,1,5,1,0
10154,2022-01-01,Accessories,Headphones,East,STR_EAS_1,1855,3,0.04,5342.4,2022,1,5,1,0
10155,2022-01-01,Home Appliances,Vacuum Cleaner,East,STR_EAS_2,33788,2,0.07,62845.68,2022,1,5,1,0
10156,2022-01-01,Accessories,Keyboard,West,STR_WES_2,3932,4,0.01,15570.72,2022,1,5,1,0
10157,2022-01-01,Electronics,Smartphone,East,STR_EAS_1,28003,7,0.07,182299.53,2022,1,5,1,0
10158,2022-01-01,Accessories,Mouse,South,STR_SOU_4,3524,1,0.02,3453.52,2022,1,5,1,0
10159,2022-01-01,Electronics,Smartphone,South,STR_SOU_1,58146,3,0.03,169204.86,2022,1,5,1,0
10160,2022-01-01,Electronics,Laptop,South,STR_SOU_2,72400,5,0.03,351140.0,2022,1,5,1,1
10161,2022-01-01,Accessories,Mouse,North,STR_NOR_4,4701,1,0.01,4653.99,2022,1,5,1,0
10162,2022-01-01,Home Appliances,Vacuum Cleaner,South,STR_SOU_3,40986,1,0.02,40166.28,2022,1,5,1,0
10163,2022-01-01,Electronics,Tablet,North,STR_NOR_1,21771,1,0.02,21335.58,2022,1,5,1,0
10164,2022-01-01,Home Appliances,Microwave,North,STR_NOR_4,41983,1,0.04,40303.68,2022,1,5,1,0
10165,2022-01-01,Electronics,Tablet,East,STR_EAS_1,41843,4,0.1,150634.8,2022,1,5,1,0
10166,2022-01-01,Electronics,Tablet,North,STR_NOR_2,20675,5,0.01,102341.25,2022,1,5,1,0
10167,2022-01-01,Accessories,Headphones,West,STR_WES_4,4757,3,0.09,12986.61,2022,1,5,1,0
10168,2022-01-01,Electronics,Tablet,East,STR_EAS_3,73029,2,0.07,135833.94,2022,1,5,1,0
10169,2022-01-01,Home Appliances,Microwave,East,STR_EAS_4,34796,1,0.03,33752.12,2022,1,5,1,0
10170,2022-01-01,Accessories,Mouse,West,STR_WES_1,3137,2,0.05,5960.3,2022,1,5,1,0
10171,2022-01-01,Accessories,Mouse,South,STR_SOU_5,3834,2,0.1,6901.2,2022,1,5,1,0
10172,2022-01-01,Electronics,Smartphone,West,STR_WES_1,25984,1,0.08,23905.28,2022,1,5,1,0
10173,2022-01-01,Electronics,Tablet,North,STR_NOR_2,27189,1,0.02,26645.22,2022,1,5,1,0
10174,2022-01-01,Accessories,Keyboard,West,STR_WES_4,3575,1,0.09,3253.25,2022,1,5,1,0
10175,2022-01-01,Accessories,Keyboard,South,STR_SOU_5,3867,8,0.09,28151.76,2022,1,5,1,0
